Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,sma,std,upper_band,lower_band,Call
2018-04-05,HEROMOTOCO,EQ,3667.15,3700.0,3796.0,3699.95,3790.0,3782.15,3753.95,440824,1654832345.5,36121,244863,55.55,3576.88,98.44922736324939,3773.7784547264987,3379.9815452735015,3
2018-04-06,HEROMOTOCO,EQ,3782.15,3781.0,3787.95,3750.0,3761.5,3779.45,3773.58,213101,804153767.8,16317,122314,57.4,3588.1325000000006,108.12995017570188,3804.3924003514044,3371.872599648597,3
2018-04-09,HEROMOTOCO,EQ,3779.45,3784.0,3807.1,3775.2,3800.0,3798.7,3797.54,265991,1010111521.55,23877,194148,72.99,3598.7325000000005,117.929295582475,3834.5910911649507,3362.8739088350503,3
2018-04-10,HEROMOTOCO,EQ,3798.7,3815.0,3815.0,3714.0,3722.0,3718.3,3751.25,321682,1206710363.65,36718,208199,64.72,3605.3300000000004,120.85475776188558,3847.0395155237716,3363.620484476229,1
2018-04-11,HEROMOTOCO,EQ,3718.3,3732.0,3755.0,3681.0,3747.35,3739.35,3715.19,291118,1081559744.15,11795,183774,63.13,3607.5725000000007,122.99359683268858,3853.559693665378,3361.5853063346235,1
2018-04-12,HEROMOTOCO,EQ,3739.35,3744.0,3786.5,3726.05,3737.35,3749.45,3753.86,115113,432117940.05,14309,45018,39.11,3609.9850000000006,125.37686043117684,3860.738720862354,3359.231279137647,1
2018-04-13,HEROMOTOCO,EQ,3749.45,3759.8,3770.0,3698.0,3735.65,3725.9,3729.4,164961,615205991.8,18192,74864,45.38,3614.3125,127.9118167404481,3870.136133480896,3358.488866519104,1
2018-04-16,HEROMOTOCO,EQ,3725.9,3723.0,3810.0,3710.2,3807.0,3803.15,3786.5,164316,622183147.4,13594,60556,36.85,3622.4299999999994,134.65499033104027,3891.7399806620797,3353.120019337919,1
2018-04-17,HEROMOTOCO,EQ,3803.15,3825.0,3825.0,3763.15,3765.1,3769.0,3782.51,223874,846805651.8,23516,139364,62.25,3633.5749999999994,137.2051168103702,3907.9852336207396,3359.164766379259,1
2018-04-18,HEROMOTOCO,EQ,3769.0,3765.05,3784.0,3731.6,3739.4,3737.8,3748.93,204458,766499612.3,20797,127988,62.6,3644.6999999999994,136.1265278296166,3916.9530556592326,3372.446944340766,1
2018-04-19,HEROMOTOCO,EQ,3737.8,3765.0,3770.0,3709.0,3710.0,3723.6,3738.45,234124,875261236.3,26688,133356,56.96,3655.1899999999996,133.56799924028473,3922.325998480569,3388.05400151943,1
